 || CREATION || Application started. || 2026-09-24T23:34:06.246Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:34:09.253Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:34:09.257Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:34:09.306Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:34:09.320Z 
 || ERROR || Cannot convert undefined or null to object || 2026-09-24T23:34:22.207Z 
 || CREATION || Application started. || 2026-09-24T23:35:00.468Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:35:03.477Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:35:03.479Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:35:03.516Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:35:03.532Z 
 || CREATION || Application started. || 2026-09-24T23:35:38.487Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:35:41.501Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:35:41.504Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:35:41.543Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:35:41.557Z 
 || CREATION || Application started. || 2026-09-24T23:36:12.820Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:36:15.823Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:36:15.826Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:36:15.877Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:36:15.895Z 
 || CREATION || Application started. || 2026-09-24T23:36:58.704Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:37:01.710Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:37:01.714Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:37:01.748Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:37:01.761Z 
 || CREATION || Application started. || 2026-09-24T23:37:09.597Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:37:12.613Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:37:12.620Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:37:12.655Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:37:12.668Z 
 || CREATION || Application started. || 2026-09-24T23:37:19.464Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:37:22.473Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:37:22.475Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:37:22.511Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:37:22.524Z 
 || CREATION || Application started. || 2026-09-24T23:37:30.276Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:37:33.291Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:37:33.293Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:37:33.358Z 
 || INFO || Starting xml parsing stream in C:\Users\ctubelleja\Desktop\CCN\KuwaitAirways\OLD\2026-09-23\Manifest-Bol-Created-AL1210035256--KUA0270-26-P03--2C54C7CF-1CD5-406B-A6E4-53BCDD5E9A70 ||  2026-09-24T23:37:33.373Z 
 || CREATION || Application started. || 2026-09-24T23:37:36.391Z 
 || INFO || Starting CCN Watcher || 2026-09-24T23:37:39.407Z 
 || INFO || Files read from C:\Users\ctubelleja\Desktop\CCN || 2026-09-24T23:37:39.410Z 
 || INFO || Connected to MongoDB || 2026-09-24T23:37:39.456Z 
